name,email,country,region,phone,address,occupation,score,registration_number,married
Todd Hancock,aliquam.nisl@nunc.ca,Brazil,Paraíba,(43) 0000-5831,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Farmaceutico,7,5,Nao
Kareem Potter,risus.at.fringilla@duis.com,Brazil,São Paulo,(67) 0000-9767,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro UTI,1,10,Nao
Jason Benjamin,vitae.aliquet.nec@lacusvestibulumlorem.net,Brazil,Pernambuco,(41) 0000-6468,Ap #581-3879 Pede. St.,Enfermeiro Plantonista,7,8,Nao
Fiona Bean,suspendisse@quisurna.net,Brazil,Rio de Janeiro,(41) 0000-4159,967-2872 Lorem Road,Enfermeiro UTI,5,4,Nao
Acton Bates,eleifend.egestas@idnunc.ca,Brazil,Minas Gerais,(07) 0000-6419,Ap #499-2813 Nec Av.,Fisioterapeuta Geral,9,5,Nao
Lionel Vazquez,risus.a@necurna.co.uk,Brazil,Minas Gerais,(64) 0000-6636,5790 Sit St.,Tecnico Em Radiologia,1,9,Sim
Karyn Holden,tincidunt.aliquam@necante.com,Brazil,Santa Catarina,(07) 0000-0255,494-5857 Risus Street,Tecnico Enfermagem,10,4,Sim
Nell Gordon,etiam.vestibulum.massa@scelerisque.net,Brazil,Goiás,(34) 0000-0237,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Cirurgiao,9,10,Sim
Stacy Lancaster,eu@nullamscelerisque.ca,Brazil,Pará,(52) 0000-4924,934-1530 Adipiscing Rd.,Gerente de Enfermagem,9,9,Sim
Wyatt Bryan,proin.sed.turpis@vestibulumante.org,Brazil,Santa Catarina,(96) 0000-6655,9412 Volutpat St.,Cirurgiao,3,4,Sim
Quynn Ward,consectetuer.ipsum@vitae.com,Brazil,Bahia,(71) 0000-7538,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Nefrologista,10,4,Sim
Austin Chavez,purus.ac@metuseuerat.co.uk,Brazil,Minas Gerais,(04) 0000-2181,Ap #659-6340 Egestas Avenue,Tecnico Enfermagem,9,3,Sim
Cherokee Morin,integer.vulputate@acmattis.net,Brazil,Pará,(42) 0000-8739,Ap #622-9990 Feugiat. Ave,Tecnico Em Radiologia,7,6,Sim
Jordan Bell,feugiat.placerat@vitaesemper.edu,Brazil,Pará,(00) 0000-2114,449-4912 Leo. Av.,Enfermeiro Plantonista,8,1,Sim
Abbot Witt,ac@faucibuslectus.net,Brazil,Goiás,(84) 0000-4871,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Auxiliar de Enfermagem,7,9,Sim
Frances Hampton,euismod@infelisnulla.org,Brazil,Santa Catarina,(85) 0000-2341,376-1429 Magna Rd.,Auxiliar de Enfermagem,7,6,Sim
Tiger Knox,dapibus.id@necmauris.org,Brazil,Pará,(19) 0000-1127,531-8138 Nulla Road,Enfermeiro Obstreta,7,2,Nao
Petra Malone,non.lorem.vitae@vivamus.org,Brazil,Paraná,(07) 0000-9473,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Cirurgiao,10,10,Nao
Tashya Woodard,tristique.senectus@magna.co.uk,Brazil,Ceará,(13) 0000-9352,2702 Lectus Street,Enfermeiro Plantonista,4,3,Sim
Ocean Cunningham,id.mollis@nullam.org,Brazil,Pernambuco,(13) 0000-1331,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro Chefe,1,4,Nao
Cameron Cantrell,penatibus.et@lectusquis.org,Brazil,Maranhão,(55) 0000-0411,5233 Iaculis Avenue,Coordenador de Enfermagem,1,2,Sim
Constance Holcomb,auctor.quis@erategetipsum.ca,Brazil,Goiás,(52) 0000-0380,Ap #488-1191 Tincidunt Rd.,Tecnico Enfermagem,3,2,Nao
Yasir Franklin,enim.mi.tempor@nislarcu.org,Brazil,São Paulo,(31) 0000-2255,858-1042 Cras Rd.,Enfermeiro Obstreta,2,6,Nao
Patrick Barton,ut.nulla.cras@molestiearcused.co.uk,Brazil,Rio Grande do Sul,(53) 0000-5389,543-3204 Nullam Road,Auxiliar de Enfermagem,4,7,Sim
Rachel Shaw,dignissim.maecenas.ornare@luctusut.edu,Brazil,Bahia,(06) 0000-9501,9302 Hendrerit Avenue,Auxiliar de Enfermagem,8,10,Sim
Kennan Francis,elit.pede.malesuada@semperpretiumneque.net,Brazil,Pernambuco,(81) 0000-1321,9222 Purus Road,Tecnico Em Radiologia,4,2,Nao
Finn Mann,eros.non@gravidasit.edu,Brazil,Rio Grande do Sul,(22) 0000-4912,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro Obstreta,5,1,Nao
Walker King,lorem.vitae@magnaloremipsum.net,Brazil,Bahia,(18) 0000-2130,Ap #580-3979 Malesuada Rd.,Nefrologista,8,9,Nao
Cain Schroeder,aliquam.nec@necluctus.co.uk,Brazil,São Paulo,(16) 0000-3154,3541 Egestas Av.,Auxiliar de Enfermagem,3,2,Nao
Colleen Buckner,et.netus@anunc.co.uk,Brazil,Ceará,(71) 0000-0161,370-6352 Mauris. St.,Enfermeiro Plantonista,1,1,Nao
Barclay O'neill,ultrices.vivamus@aeneaneuismod.co.uk,Brazil,Rio Grande do Sul,(57) 0000-4508,Ap #531-7146 Cubilia Street,Enfermeiro Obstreta,2,1,Sim
Zenaida Chang,donec.consectetuer@luctusfelis.co.uk,Brazil,Santa Catarina,(37) 0000-1421,949-8539 Tincidunt St.,Gerente de Enfermagem,3,10,Nao
Eagan Patrick,risus.donec.nibh@quisqueimperdieterat.ca,Brazil,Minas Gerais,(63) 0000-9683,137-2299 Sit Rd.,Tecnico Em Radiologia,5,9,Sim
Tanya Pittman,pharetra.nibh@ornare.co.uk,Brazil,Goiás,(77) 0000-3807,9046 In St.,Tecnico Em Radiologia,8,9,Sim
Ila Walls,non.egestas@enimmauris.com,Brazil,Goiás,(86) 0000-1773,4600 Consectetuer Ave,Farmaceutico,6,7,Nao
Aidan Malone,eu.eros@ullamcorpernisl.ca,Brazil,Paraíba,(24) 0000-4167,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Auxiliar de Enfermagem,7,3,Sim
Tarik Mann,amet.massa@seddictum.ca,Brazil,Goiás,(25) 0000-4641,716-3339 Sit Avenue,Coordenador de Enfermagem,8,9,Sim
Knox Hicks,magna.malesuada@duiaugue.edu,Brazil,Rio Grande do Sul,(47) 0000-4435,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Tecnico Enfermagem,4,9,Sim
Allistair Bishop,elit.pede@semut.edu,Brazil,Paraná,(06) 0000-9555,Ap #115-6093 Amet Av.,Tecnico Em Radiologia,10,7,Nao
Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Enfermeiro UTI,5,7,Nao
Ciaran Bartlett,mi.fringilla@ante.net,Brazil,Pernambuco,(58) 0000-6375,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Fisioterapeuta Geral,8,8,Sim
Kadeem Kelly,pretium.et@vivamusnon.ca,Brazil,Rio Grande do Sul,(47) 0000-5050,5815 Vitae Rd.,Enfermeiro UTI,1,6,Nao
Kathleen Andrews,at.lacus.quisque@lorem.edu,Brazil,Minas Gerais,(32) 0000-0038,675-4341 Purus St.,Auxiliar de Enfermagem,1,7,Nao
Jordan Smith,bibendum.fermentum.metus@antebibendumullamcorper.org,Brazil,São Paulo,(74) 0000-0616,Ap #259-7848 Mauris Av.,Enfermeiro Chefe,4,8,Sim
Ayanna Bonner,rutrum.lorem@urnanunc.net,Brazil,Goiás,(63) 0000-3876,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Fisioterapeuta Geral,1,10,Sim
Graiden Booth,accumsan.sed@duisa.com,Brazil,Santa Catarina,(39) 0000-6323,114-522 Sit Road,Tecnico Em Radiologia,3,7,Nao
Chaney Dillard,libero.est.congue@tincidunt.edu,Brazil,Maranhão,(24) 0000-4361,Ap #825-9688 Nisi Av.,Auxiliar de Enfermagem,3,1,Sim
Cora Russo,feugiat.lorem@etiam.co.uk,Brazil,Paraíba,(45) 0000-7618,Ap #821-4332 Semper Avenue,Enfermeiro Chefe,4,2,Sim
Lucian Snider,tempus.risus@elitelitfermentum.org,Brazil,Pernambuco,(66) 0000-8811,449 Magna. Rd.,Medico,1,1,Sim
Margaret Miles,in.cursus@nunc.co.uk,Brazil,Pernambuco,(50) 0000-4538,5091 Sodales Street,Tecnico Enfermagem,1,4,Nao
Jorden Melendez,enim.mi.tempor@arcuiaculisenim.edu,Brazil,Rio de Janeiro,(43) 0000-2824,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Cirurgiao,8,9,Sim
Jerome Mayo,risus.quis@a.ca,Brazil,Ceará,(48) 0000-1249,Ap #419-5127 Egestas. St.,Tecnico Em Radiologia,8,4,Nao
Constance Mclean,semper.egestas.urna@vitaepurusgravida.com,Brazil,Santa Catarina,(39) 0000-5655,Ap #582-1199 Nisi Street,Enfermeiro UTI,5,8,Sim
Keaton Suarez,lectus@leoin.net,Brazil,Paraná,(77) 0000-2937,987-3410 Tristique Ave,Cirurgiao,8,4,Nao
Karly Farley,sed@elitpretium.org,Brazil,Minas Gerais,(50) 0000-2938,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Enfermeiro Chefe,5,9,Sim
Mira Gonzalez,sed.sapien@dignissimmagna.edu,Brazil,Paraíba,(43) 0000-5257,Ap #567-1264 Commodo Av.,Enfermeiro Obstreta,8,10,Sim
Ashton Maxwell,quis.pede.suspendisse@arcused.com,Brazil,Rio de Janeiro,(91) 0000-2134,Ap #687-6247 Est Avenue,Fisioterapeuta Geral,6,2,Nao
Dahlia Stanley,elit.fermentum@malesuada.edu,Brazil,Rio Grande do Sul,(88) 0000-7854,4565 Netus Av.,Farmaceutico,9,10,Sim
Zenaida Frank,purus.in@vitae.edu,Brazil,Paraná,(67) 0000-7886,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Auxiliar de Enfermagem,2,2,Sim
Martena Mckee,urna.nec@iaculisquispede.com,Brazil,Paraíba,(56) 0000-3922,Ap #222-2353 Eget St.,Enfermeiro Obstreta,3,2,Nao
Herrod Duke,pharetra.felis@antedictumcursus.co.uk,Brazil,Santa Catarina,(58) 0000-6623,Ap #949-9686 Consequat Avenue,Enfermeiro Obstreta,6,4,Nao
Neville Mcgee,et.tristique@nullafacilisissuspendisse.edu,Brazil,Paraíba,(81) 0000-7038,943-8849 Sit Rd.,Medico,9,4,Nao
Madonna Hull,faucibus.orci@suspendissecommodo.ca,Brazil,Paraíba,(35) 0000-5145,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Cirurgiao,9,6,Sim
Ian Ferrell,eget.lacus@massaquisqueporttitor.com,Brazil,Santa Catarina,(66) 0000-4111,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Fisioterapeuta Geral,5,5,Nao
Josiah Donovan,dolor.quam.elementum@aliquam.net,Brazil,Pernambuco,(78) 0000-4497,Ap #247-3880 Suspendisse St.,Enfermeiro UTI,6,5,Sim
Jack Bartlett,suscipit.nonummy.fusce@pedenec.ca,Brazil,Maranhão,(70) 0000-7119,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Auxiliar de Enfermagem,9,6,Sim
Cassady Booker,lobortis.quis@utsagittis.com,Brazil,Paraná,(16) 0000-7267,7087 Porta Avenue,Farmaceutico,2,10,Sim
Solomon Hancock,mauris.id@liberolacus.co.uk,Brazil,Paraná,(81) 0000-8000,Ap #980-6659 Aliquet Av.,Enfermeiro UTI,7,7,Sim
Kyla Duke,eleifend.vitae@nectellusnunc.ca,Brazil,São Paulo,(39) 0000-1774,112 Lobortis Av.,Tecnico Enfermagem,1,5,Nao
Jameson Mclaughlin,sed.pede.cum@neque.org,Brazil,Bahia,(87) 0000-2363,Ap #988-1074 Curabitur Rd.,Nefrologista,1,7,Sim
Kelsie Kent,venenatis.vel.faucibus@neque.ca,Brazil,Paraíba,(29) 0000-8176,242 Sagittis Rd.,Nefrologista,2,10,Nao
Teagan Fernandez,lorem@nuncsed.org,Brazil,Santa Catarina,(09) 0000-1154,564-1578 Purus. Rd.,Tecnico Enfermagem,2,10,Nao
Fulton Chambers,nisi@porttitor.org,Brazil,Goiás,(75) 0000-4869,921-7093 Sed Avenue,Enfermeiro Obstreta,9,10,Sim
Ciara Burks,sit@nequesedsem.net,Brazil,Santa Catarina,(80) 0000-6414,962-4883 Etiam Street,Cirurgiao,1,7,Nao
Jeremy Shelton,libero@iaculislacuspede.ca,Brazil,Rio de Janeiro,(71) 0000-5843,Ap #442-797 Ultricies Ave,Coordenador de Enfermagem,8,9,Nao
Chantale Benton,vitae.nibh@leomorbi.org,Brazil,Rio de Janeiro,(86) 0000-6315,Ap #382-1750 Libero. Rd.,Enfermeiro Chefe,6,10,Sim
Kristen Shaw,orci@craseu.edu,Brazil,Pernambuco,(15) 0000-3581,390-6397 At St.,Medico,4,5,Sim
Kelly Horne,pellentesque.eget@liberoet.com,Brazil,Ceará,(34) 0000-1138,954-6537 Feugiat. Avenue,Enfermeiro Obstreta,2,5,Sim
Oleg Allison,cras@sitamet.net,Brazil,Rio de Janeiro,(54) 0000-6213,Ap #453-2870 Tellus St.,Cirurgiao,1,5,Sim
Christian Green,molestie.sodales@nisl.ca,Brazil,Goiás,(78) 0000-5618,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Tecnico Em Radiologia,2,10,Sim
Demetrius Guerra,faucibus.ut@pellentesque.edu,Brazil,Santa Catarina,(32) 0000-2261,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Medico,3,9,Nao
Felicia Martin,risus@imperdiet.com,Brazil,São Paulo,(81) 0000-8172,"Drew Baldwin,lorem.lorem.luctus@nisimagnased.com,Brazil,Bahia,(24) 0000-1231,P.O. Box 477, 3186 Velit Rd.,Enfermeiro UTI,5,7,Nao",Tecnico Enfermagem,5,3,Sim
Cherokee Dalton,ut.tincidunt.vehicula@ligula.edu,Brazil,Rio Grande do Sul,(14) 0000-3861,Ap #133-6682 Egestas. Rd.,Cirurgiao,7,4,Nao
William Mcgowan,quis.tristique.ac@egetodioaliquam.net,Brazil,Pernambuco,(74) 0000-7110,Ap #639-5636 Mollis Av.,Enfermeiro Obstreta,7,2,Sim
Dieter Rice,amet.nulla.donec@famesacturpis.co.uk,Brazil,Rio de Janeiro,(73) 0000-7396,Ap #683-1232 Et St.,Auxiliar de Enfermagem,1,6,Nao
Meredith May,donec.dignissim@faucibus.net,Brazil,Pará,(11) 0000-1759,884-6061 Sit Av.,Gerente de Enfermagem,4,2,Sim
Tarik Dudley,ridiculus@tempordiam.org,Brazil,Pará,(04) 0000-6106,Ap #808-4130 Felis St.,Nefrologista,7,10,Sim
Mufutau Calhoun,interdum.enim@feugiat.org,Brazil,Paraná,(03) 0000-7171,Ap #822-1683 Aenean Rd.,Tecnico Em Radiologia,8,1,Nao
Skyler Cabrera,augue.porttitor@semperet.org,Brazil,Paraíba,(43) 0000-4426,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Tecnico Enfermagem,6,1,Nao
Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim
Geraldine Stein,pretium.et.rutrum@namtempor.com,Brazil,Bahia,(63) 0000-0641,293-1544 Magna. Street,Auxiliar de Enfermagem,2,4,Sim
Vladimir Branch,integer.mollis@nisiaenean.org,Brazil,São Paulo,(81) 0000-4417,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Farmaceutico,4,4,Sim
Mufutau Santiago,cursus.nunc@aliquamtincidunt.com,Brazil,Ceará,(71) 0000-8648,Ap #663-8299 Quam Street,Enfermeiro Obstreta,10,3,Sim
Eve Donaldson,dolor.nulla@natoquepenatibus.com,Brazil,Ceará,(87) 0000-3725,9801 Lorem Road,Coordenador de Enfermagem,5,4,Nao
Abbot Hebert,aliquam.rutrum@vulputatemauris.net,Brazil,Santa Catarina,(52) 0000-3685,Ap #802-3592 Neque. Road,Enfermeiro Chefe,3,8,Sim
Clark Lewis,consequat.nec.mollis@crasvulputate.co.uk,Brazil,Paraná,(05) 0000-6870,Ap #144-1055 Amet Rd.,Enfermeiro Chefe,2,7,Sim
Gisela Velazquez,egestas.aliquam@montesnascetur.co.uk,Brazil,Maranhão,(85) 0000-7798,887-3779 A Ave,Enfermeiro Obstreta,10,4,Sim
Jasper Nichols,pellentesque.a@classaptent.co.uk,Brazil,Bahia,(33) 0000-4576,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Enfermeiro Obstreta,5,3,Nao
Teegan Noel,ac@sed.ca,Brazil,Rio de Janeiro,(36) 0000-6457,936-4930 Nisl St.,Coordenador de Enfermagem,10,8,Sim
Madonna Carey,mi@viverramaecenasiaculis.ca,Brazil,Maranhão,(56) 0000-2457,Ap #744-1812 Ut Ave,Nefrologista,8,4,Nao
Latifah Galloway,eros.nec.tellus@hendreritconsectetuer.org,Brazil,Rio Grande do Sul,(56) 0000-5726,Ap #595-2025 Etiam Avenue,Gerente de Enfermagem,8,6,Sim
Uriah Weeks,mattis.semper.dui@auctorodio.co.uk,Brazil,Rio de Janeiro,(28) 0000-1300,4425 Egestas. Avenue,Medico,3,7,Nao
Yoshio Colon,adipiscing.mauris@faucibusutnulla.net,Brazil,Pará,(55) 0000-8718,165-5123 Rhoncus. Avenue,Enfermeiro Plantonista,5,8,Sim
Jordan Cameron,tempor.arcu@tristiquesenectus.org,Brazil,Bahia,(70) 0000-2676,Ap #283-2153 Erat Rd.,Gerente de Enfermagem,7,8,Sim
Julie Farley,fusce.fermentum@viverradonec.ca,Brazil,Maranhão,(74) 0000-1301,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Cirurgiao,5,1,Sim
Cullen Ayers,tellus.faucibus@dictumeleifend.ca,Brazil,Rio de Janeiro,(76) 0000-0420,558-5224 Dui St.,Farmaceutico,4,8,Nao
Beau Clemons,nisl.quisque.fringilla@aenimsuspendisse.edu,Brazil,Goiás,(63) 0000-3132,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Tecnico Em Radiologia,6,6,Sim
Oleg Mcdaniel,dictum.augue@purussapien.ca,Brazil,Rio de Janeiro,(85) 0000-3844,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Farmaceutico,4,5,Sim
Hayden Castro,rutrum@venenatisvel.ca,Brazil,Santa Catarina,(30) 0000-3849,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Nefrologista,1,9,Nao
Phillip Blackwell,iaculis.quis.pede@semperegestasurna.org,Brazil,Goiás,(96) 0000-1786,Ap #119-7485 Tincidunt St.,Nefrologista,1,1,Nao
Carson Ruiz,eu.odio@erosproinultrices.co.uk,Brazil,Ceará,(64) 0000-2726,Ap #731-9151 Orci. Street,Tecnico Enfermagem,8,7,Sim
Tatiana Bauer,mauris.sit@vitaerisus.ca,Brazil,Rio Grande do Sul,(38) 0000-7625,2842 Tortor. Avenue,Medico,9,1,Nao
Priscilla Ball,nulla.at.sem@torquentper.ca,Brazil,Bahia,(07) 0000-5245,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Fisioterapeuta Geral,10,3,Nao
Gemma Burton,et@elita.net,Brazil,Pernambuco,(85) 0000-0620,Ap #592-3952 Ultricies Ave,Enfermeiro UTI,8,5,Nao
Herrod Holcomb,ipsum.leo@pede.edu,Brazil,Paraíba,(46) 0000-9573,Ap #510-1056 Ac St.,Tecnico Em Radiologia,5,7,Nao
Fallon Blanchard,aliquam.erat@nisicum.org,Brazil,Santa Catarina,(35) 0000-6452,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Tecnico Em Radiologia,2,3,Sim
Nigel Ford,vitae.nibh@sedleocras.net,Brazil,Rio Grande do Sul,(28) 0000-8228,354-6155 Nunc Ave,Enfermeiro Plantonista,4,10,Nao
Ryder Knowles,vivamus@rhoncusnullamvelit.org,Brazil,Minas Gerais,(64) 0000-3494,Ap #283-4402 Arcu. Ave,Enfermeiro Obstreta,2,2,Nao
Chandler Finch,nisi.aenean@temporarcu.net,Brazil,Rio Grande do Sul,(15) 0000-7012,Ap #335-3191 Vel Avenue,Enfermeiro Obstreta,9,1,Nao
Sheila Rogers,sit@lacinia.co.uk,Brazil,Goiás,(28) 0000-3089,779-886 Amet Av.,Coordenador de Enfermagem,10,2,Nao
Harlan Cline,adipiscing.elit@ettristiquepellentesque.co.uk,Brazil,Maranhão,(23) 0000-7630,204-2116 Nulla Road,Enfermeiro Chefe,9,1,Nao
Cody Kelly,augue.id.ante@apurus.org,Brazil,Pernambuco,(18) 0000-2612,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Farmaceutico,2,7,Sim
Moses Pitts,cum.sociis@in.org,Brazil,Rio Grande do Sul,(03) 0000-7042,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Tecnico Enfermagem,2,1,Sim
